"","proteinIDs","iBAQ.as_g0_a","iBAQ.as_g0_b","iBAQ.as_g0_c","iBAQ.as_g1_a","iBAQ.as_g1_b","iBAQ.as_g1_c","iBAQ.wt_g0_a","iBAQ.wt_g0_b","iBAQ.wt_g0_c"
"1414","Z4YJY0;Q3TCJ1",260500,0,130240,0,0,0,0,164210,0
"1415","Q3TCU5;Q9R233;G3UZZ2;A0A3Q4EGL0",3072300,583850,1035900,227100,67912,26204,29103,1539500,1081100
"1416","Q3TDD9",320790,0,149820,0,0,0,6629.3,274890,298070
"1417","Z4YKB8;Q3TEA8;Z4YKA3;A2AM65;A2AM70;A2AM63;A2AM69;A2AM62",4331900,805680,2142700,912270,184020,120630,174220,7242900,6129300
"1418","Q3TGF2;H3BLE6;H9H9T1;A0A2I3BR29;H3BLM7",1146900,50985,654360,35820,0,0,16024,1764700,2496000
"1419","Q6ZWQ9;Q3THE2;D3Z249",6825200,1400200,3727100,1424100,662970,482060,0,6587300,2154900
"1420","Q3THK7",81908,0,0,0,0,0,0,114010,0
"1421","Q3THS6;A0A0U1RPH4;A0A0U1RNT6;A0A0U1RNK6",306910,107910,135850,0,31548,34664,22018,136840,83984
"1422","Q3TIU4",72753,57863,0,0,0,0,0,81326,93650
"1423","Q3TIV5",157980,0,0,0,0,0,0,189730,0
"1424","Q3TIV9",138230,0,0,0,0,0,0,0,0
"1425","Q3TKD0;Q8BFY9;J3QMX2;E9PV58;Q99LG2",131130,0,53997,0,0,0,0,50881,37973
"1426","Q3TLP5;F6YTG0;F6Z5N5",1011500,758950,1062800,645040,209420,121810,2838300,9522900,38556000
"1427","Q3TML0;Q922R8",4088600,1484300,3213100,720070,297280,302410,153560,2900000,3075000
"1428","Q3TNA1",200370,107660,91065,149520,38678,83524,118770,1178900,1821700
"1429","Q3TQC7;Q9WUZ9",46816,0,53483,86034,0,0,79615,305190,663630
"1430","Q3TRH2;Q9D8W5;B1AT36",356070,0,411590,168650,19141,0,0,197200,226670
"1431","Q8BPW9;Q3TVK3;Q9Z2W0",476170,0,181680,125450,19729,24673,0,350220,263970
"1432","Q3TW96",2553000,243350,620380,204820,90322,99468,40829,1656900,1132600
"1433","Q3TWW8;A0A0A6YXX6",10429000,1115700,3402400,1042200,320050,204520,329990,4257600,5532100
"1434","Q3TXR6;Q8C0L6",809690,0,194550,0,0,0,0,83679,88455
"1435","Q3TXS7;J3QN38",195180,114170,106760,31927,0,0,0,183150,124640
"1436","Q3U1U6;D3Z6V5;Q9EQN3",0,0,36624,0,0,0,0,2754600,0
"1437","Q3U1Z5",1833600,0,552310,0,0,0,43783,2493700,1480400
"1438","Q3U276",0,0,0,0,0,0,0,284430,451120
"1439","Q3U2G2;Q61316;E0CY23;E9Q0U7;P48722;Q61699",1428100,131870,556880,216060,22498,26566,14510,1251800,1193500
"1440","Q3U3G8;Q9EPB5",0,41567,0,0,0,0,52458,219750,467980
"1441","Q3U3J1;P50136",227650,97307,164420,125770,26833,0,93218,1702900,2569600
"1442","Q3U422",4713800,820310,2105100,711460,37992,0,2549800,17270000,38036000
"1443","Q3U5Q7",68877,0,0,0,0,0,0,234600,135510
"1444","Q3U7R1;A0A1W2P784",432830,139470,356630,27752,25150,11808,0,316530,161170
"1445","Q3U9G9;A0A0A6YY12",1407300,379690,883940,54143,19296,30431,51976,2352000,2436500
"1446","Q3UBX0;D3Z7P2;D3Z3Z2;D3YX08;D3Z0I8",5897300,1839800,3620400,1074100,0,0,0,2933300,4309300
"1447","Q3UE92;Q6P1B1;A0A494BBG8;S4R1I3",58093,0,0,9963.4,0,0,0,57430,22573
"1448","Q3UEB3",141280,0,41276,45967,0,0,0,97081,71359
"1449","Q3UEG6;H7BWY3",64135,28834,120000,0,0,0,55023,775060,1418100
"1450","Q3UER8;Q8VCM7",0,442560,1334300,344330,26448,100410,0,0,0
"1451","Q3UF75;Q9EPC1",0,0,0,378400,57293,59966,0,140570,233860
"1452","Q3UFY8",0,0,0,0,0,0,0,54764,0
"1453","Q3UGB5;Q9JII5;D3Z4J1",3522500,341830,1409300,523540,126020,146090,50734,1713600,1436600
"1454","Q3UGC7;Q66JS6",990980,0,281760,0,0,68087,65993,892870,102700
"1455","Q3UGS4",0,0,0,0,0,0,0,291590,175250
"1456","Q3UHD6",35124,0,66688,0,0,51749,0,104300,36099
"1457","Q3UHJ0",16526,16819,19485,17066,0,0,0,105420,37452
"1458","Q3UI43",982960,0,357940,0,0,17537,58461,720200,750770
"1459","Q3UID0;Q6PDG5;Q3UNN4;P97496",5845200,20789,1094000,483890,51044,0,21669,359630,421710
"1460","Q3UJB0;A0A494B9S9",858320,69004,464760,154050,7855.9,17104,20703,687390,696930
"1461","Q3ULD5;Q6PD20",1511300,1232500,1566000,537670,35479,0,542060,6666300,14129000
"1462","Q3UM45",1321700,63922,372210,131160,0,0,24835,569580,758540
"1463","Q3UMA3;Q99LI8",66463,0,0,0,0,0,0,110910,68935
"1464","Q3UMT1;F6XWD4",167030,0,0,0,0,0,0,0,0
"1465","Q3UND0;A0A0N4SVW8",1012200,0,159060,0,0,0,0,329890,198500
"1466","Q3UNX5",176140,64524,77356,165080,0,0,49050,1144200,3397500
"1467","Q3UNZ8;A0A0A6YWV6;A0A0A6YXW5;A0A0A6YWZ0",30471,37871,156690,162380,0,0,894970,3906800,5396700
"1468","Q3UPH1",324190,0,127870,59983,0,0,0,278920,90259
"1469","Q3UPL0;S4R2A9;S4R192;S4R256;S4R1T5;S4R1Y8",178900,59627,0,50113,18276,0,24912,479020,425100
"1470","Q3URE1;A0A1D5RMC8",0,0,0,0,0,0,17914,103030,369660
"1471","Q3URS9",0,67210,64117,26077,0,0,130770,0,2082400
"1472","Q3USK2;Q9DC28",0,0,0,0,0,0,0,91395,109910
"1473","Q3UTY6",0,100010,242310,30857,0,0,0,0,0
"1474","Q3UU41",0,0,0,0,0,0,0,667050,280730
"1475","Q3UVK0;G8JL46",502500,210100,239750,105430,19335,0,0,155540,130650
